Package            Version
------------------ -----------
aiohappyeyeballs   2.6.1
aiohttp            3.12.11
aiosignal          1.3.2
annotated-types    0.7.0
anyio              4.9.0
attrs              25.3.0
azure-ai-agents    1.1.0b2
azure-ai-projects  1.0.0b11
azure-core         1.34.0
azure-cosmos       4.9.0
azure-identity     1.23.0
azure-storage-blob 12.25.1
black              25.1.0
build              1.2.2.post1
certifi            2025.4.26
cffi               1.17.1
charset-normalizer 3.4.2
click              8.1.8
coverage           7.8.2
cryptography       45.0.3
distro             1.9.0
docopt             0.6.2
duckdb             1.3.0
Faker              37.3.0
frozenlist         1.6.2
h11                0.16.0
httpcore           1.0.9
httpx              0.28.1
idna               3.10
iniconfig          2.1.0
isodate            0.7.2
Jinja2             3.1.6
jiter              0.10.0
MarkupSafe         3.0.2
msal               1.32.3
msal-extensions    1.3.1
multidict          6.4.4
mypy_extensions    1.1.0
openai             1.86.0
packaging          25.0
pathspec           0.12.1
pip                25.1.1
pip-tools          7.4.1
platformdirs       4.3.8
pluggy             1.6.0
propcache          0.3.1
psutil             7.0.0
pycparser          2.22
pydantic           2.11.5
pydantic_core      2.33.2
Pygments           2.19.1
PyJWT              2.10.1
pyproject_hooks    1.2.0
pytest             8.4.0
pytest-asyncio     1.0.0
pytest-cov         6.1.1
python-dotenv      1.1.0
pytz               2025.2
redis              6.2.0
requests           2.32.3
setuptools         80.9.0
six                1.17.0
sniffio            1.3.1
tqdm               4.67.1
typing_extensions  4.14.0
typing-inspection  0.4.1
tzdata             2025.2
urllib3            2.4.0
wheel              0.45.1
yarl               1.20.0
